Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE.1
35.75,52.309937,4.77451,-1.2,-4.0,7.8,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,52.309925,4.77451,-1.2,-4.0,8.8,,,D 0.7,,3.3,3.25,2.25,,0,False (0),False (0),False (0),False (0),0.4,0,,276,0,,,,,45.7,,,26.25,0.15,Display - IAS (1),3,45,,,
36.25,52.309917,4.77451,-1.2,-4.0,9.8,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.5,52.309906,4.77451,-1.2,-4.0,10.7,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.75,52.309895,4.77451,-1.2,-4.0,11.7,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,52.309883,4.77451,-1.2,-4.0,12.7,,0,D 0.7,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,494,0,,,,,45.7,,,26.25,0.15,Display - IAS (1),3,45,,,
37.25,52.309872,4.77451,-1.2,-4.0,13.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,52.30986,4.77451,-1.2,-4.0,14.6,,102.5,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.75,52.309853,4.77451,-1.2,-4.0,15.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,52.309849,4.77451,-1.2,-4.0,16.5,,,D 0.7,30.5,,4.63,2.25,,,False (0),False (0),False (0),False (0),0.4,0,0,348,0,,,,,45.7,,,26,0.15,Display - IAS (1),3,45,,N52 18.48,
38.25,52.309841,4.77451,-1.2,-4.0,17.4,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.5,52.309841,4.77451,-1.2,-4.0,18.3,,,D 0.7,,,,,,0,,,,,,,17.2,,,,,,,,,,,,,,,,,
38.75,52.309841,4.77451,-1.2,-4.0,19.2,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,52.309841,4.77451,-1.2,-4.0,20.0,,,D 0.7,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,298,5574,,,0.0,,45.7,,,26.25,0.15,Display - IAS (1),3,45,E004 46.27,,
39.25,52.309841,4.77451,-1.2,-4.0,21.0,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5,52.309841,4.77451,-1.2,-4.0,22.0,,,D 0.7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
39.75,52.309841,4.77451,-1.2,-4.0,22.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,52.309841,4.77451,-1.2,-4.0,23.9,,,D 0.7,,6.4,6.25,96,,0,False (0),False (0),False (0),False (0),0.4,0,,283,0,,,,,45.6,,,25.5,0.15,Display - IAS (1),3,45,,,
40.25,52.309841,4.77451,-1.2,-4.0,24.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.5,52.309841,4.77451,-1.2,-4.0,25.8,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.75,52.309841,4.77451,-1.2,-4.0,26.8,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,52.309841,4.77451,-1.2,-4.0,27.8,,0,D 0.7,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,290,0,,,,,45.5,,,24.25,0.15,Display - IAS (1),2.5,45,,,
41.25,52.309841,4.77451,-1.2,-4.0,28.7,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.5,52.309841,4.77451,-1.2,-4.0,29.5,,102,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.75,52.309841,4.77451,-1.2,-4.0,30.4,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,52.309841,4.77451,-1.2,-4.0,31.3,,,D 0.7,37.38,,8.13,96,,,False (0),False (0),False (0),False (0),0.4,0,0,290,0,,,,,45.5,,,23.25,0.15,Display - IAS (1),2.5,45,,N52 18.48,
42.25,52.309841,4.77451,-1.2,-4.0,31.8,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5,52.309841,4.77451,-1.2,-4.0,32.4,,,D 0.7,,,,,,0,,,,,,,31.3,,,,,,,,,,,,,,,,,
42.75,52.309841,4.77451,-1.2,-4.0,32.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,52.309841,4.77451,-1.2,-4.0,33.4,,,D 0.7,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,305,5574,,,,0.0,45.4,,,22.5,0.15,Display - IAS (1),2.5,45,E004 46.27,,
43.25,52.309841,4.77451,-1.2,-4.0,33.7,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.5,52.309841,4.77451,-1.2,-4.0,33.9,,,D 0.7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
43.75,52.309841,4.77451,-1.2,-4.0,34.2,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,52.309841,4.77451,-1.2,-4.0,34.5,,,D 0.7,,10.3,10.25,2.25,,0,False (0),False (0),False (0),False (0),0.4,0,,312,0,,,,,45.4,,,22.25,0.15,Display - IAS (1),2.5,45,,,
44.25,52.309841,4.77451,-1.2,-4.0,34.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.5,52.309841,4.77451,-1.2,-4.0,34.8,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.75,52.309841,4.77451,-1.2,-4.0,35.0,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,52.309841,4.77451,-1.2,-4.0,35.2,,0,D 0.7,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,327,0,,,,,45.4,,,22,0.15,Display - IAS (1),3,45,,,
45.25,52.309841,4.77451,-1.2,-4.0,35.4,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.5,52.309841,4.77451,-1.2,-4.0,35.7,,102.5,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.75,52.309841,4.77451,-1.2,-4.0,36.0,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,52.309841,4.77451,-1.2,-4.0,36.2,,,D 0.7,44.63,,12.25,2.25,,,False (0),False (0),False (0),False (0),0.4,0,0,334,0,,,,,45.4,,,21.75,0.15,Display - IAS (1),2.5,45,,N52 18.48,
46.25,52.309841,4.77451,-1.2,-4.0,36.4,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.5,52.309841,4.77451,-1.2,-4.0,36.6,,,D 0.5,,,,,,0,,,,,,,35.5,,,,,,,,,,,,,,,,,
46.75,52.309841,4.77451,-1.2,-4.0,36.7,,,D 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.5,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,348,5574,,,,,45.4,,,21.75,0.15,Display - IAS (1),2.5,45,E004 46.27,,
47.25,52.309841,4.77451,-1.2,-4.0,37.1,,,D 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.5,52.309841,4.77451,-1.2,-4.0,37.3,,,D 0.5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
47.75,52.309841,4.77451,-1.2,-4.0,37.4,,,D 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,52.309841,4.77451,-1.2,-4.0,37.6,,,D 0.5,,14.3,14.13,0,,0,False (0),False (0),False (0),False (0),0.4,0,,370,0,,,,,45.4,,,21.75,0.15,Display - IAS (1),2,45,,,
48.25,52.309841,4.77451,-1.2,-4.0,37.6,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.5,52.309841,4.77451,-1.2,-4.0,37.6,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.75,52.309841,4.77451,-1.2,-4.0,37.6,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,52.309841,4.77451,-1.2,-4.0,37.6,,0,D 0.4,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,377,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),1.5,45,,,
49.25,52.309841,4.77451,-1.2,-4.0,37.6,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.5,52.309841,4.77451,-1.2,-4.0,37.6,,101,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.75,52.309841,4.77451,-1.2,-4.0,37.6,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,52.309841,4.77451,-1.2,-4.0,37.6,,,D 0.4,52,,16.25,0,,,False (0),False (0),False (0),False (0),0.4,0,0,385,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),1,45,,N52 18.48,
50.25,52.309841,4.77451,-1.2,-4.0,37.5,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.5,52.309841,4.77451,-1.2,-4.0,37.4,,,D 0.4,,,,,,0,,,,,,,36.2,,,,,,,,,,,,,,,,,
50.75,52.309841,4.77451,-1.2,-4.0,37.4,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,52.309841,4.77451,-1.2,-4.0,37.3,,,D 0.4,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,399,5574,,,,,45.3,,,21.25,0.15,Display - IAS (1),0.5,45,E004 46.27,,
51.25,52.309841,4.77451,-1.2,-4.0,37.3,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5,52.309841,4.77451,-1.2,-4.0,37.3,,,D 0.4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
51.75,52.309841,4.77451,-1.2,-4.0,37.3,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,52.309841,4.77451,-1.2,-4.0,37.3,,,D 0.2,,18.4,18.38,2.25,,0,False (0),False (0),False (0),False (0),0.4,0,,414,0,,,,,45.3,,,21,0.15,Display - IAS (1),0.5,45,,,
52.25,52.309841,4.77451,-1.2,-4.0,37.2,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.5,52.309841,4.77451,-1.2,-4.0,37.1,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.75,52.309841,4.77451,-1.2,-4.0,37.0,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,52.309841,4.77451,-1.2,-4.0,36.9,,0,D 0.2,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,428,0,,,,,45.3,,,21,0.15,Display - IAS (1),0,45,,,
53.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5,52.309841,4.77451,-1.2,-4.0,36.9,,100,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,59.25,,20.38,2.25,,,False (0),False (0),False (0),False (0),0.4,0,0,435,0,,,,,45.3,,,21,0.15,Display - IAS (1),0,45,,N52 18.48,
54.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.5,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,0,,,,,,,35.9,,,,,,,,,,,,,,,,,
54.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,52.309841,4.77451,-1.2,-4.0,36.9,65282.0,,D 0.2,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,450,5574,,,,,45.3,,,21.25,0.15,Display - IAS (1),0,45,E004 46.27,,
55.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.5,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
55.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,21.5,21.5,96,,0,False (0),False (0),False (0),False (0),0.4,0,,334,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),0,45,,,
56.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.5,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,52.309841,4.77451,-1.2,-4.0,36.9,,0,D 0.2,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,305,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),0,45,,,
57.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.5,52.309841,4.77451,-1.2,-4.0,36.9,,100,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,61,,21.25,96,,,False (0),False (0),False (0),False (0),0.4,0,0,305,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),0,45,,N52 18.48,
58.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.5,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,0,,,,,,,35.9,,,,,,,,,,,,,,,,,
58.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,312,5574,,,,,45.3,,,21.5,0.15,Display - IAS (1),0,45,E004 46.27,,
59.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.5,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
59.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,21,21,2.25,,0,False (0),False (0),False (0),False (0),0.4,0,,312,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),0,45,,,
60.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.5,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,52.309841,4.77451,-1.2,-4.0,36.9,,0,D 0.2,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,312,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),0,45,,,
61.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.5,52.309841,4.77451,-1.2,-4.0,36.9,,100,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.75,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.2,60.63,,20.63,2.25,,,False (0),False (0),False (0),False (0),0.4,0,0,312,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),0,45,,N52 18.48,
62.25,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.5,52.309841,4.77451,-1.2,-4.0,36.9,,,D 0.4,,,,,,0,,,,,,,35.9,,,,,,,,,,,,,,,,,
62.75,52.309841,4.774508,-1.2,-4.0,36.9,,,D 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,52.309841,4.774504,-1.2,-4.0,36.9,,,D 0.5,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,312,0,,,,,45.3,,,21.5,0.15,Display - IAS (1),0,45,E004 46.27,,
63.25,52.309841,4.774498,-1.2,-4.0,36.9,,,D 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.5,52.309841,4.774489,-1.2,-4.0,36.9,,,D 0.5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
63.75,52.309841,4.774478,-1.2,-4.0,36.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,52.309841,4.774467,-1.2,-4.0,36.9,,,D 0.7,,20.6,20.5,0,,0,False (0),False (0),False (0),False (0),0.4,0,,312,0,,,,,45.4,,,22,0.15,Display - IAS (1),0,45,,,
64.25,52.309841,4.774457,-1.2,-4.0,36.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.5,52.309841,4.774446,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.75,52.309841,4.774436,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,52.309841,4.774425,-1.2,-4.0,36.9,,0,D 0.9,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,298,0,,,,,45.4,,,22.25,0.15,Display - IAS (1),0,45,,,
65.25,52.309841,4.774414,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.5,52.309841,4.774403,-1.2,-4.0,36.9,,100,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.75,52.309841,4.774393,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,52.309841,4.774382,-1.2,-4.0,36.9,,,D 0.9,60.63,,20.75,0,,,False (0),False (0),False (0),False (0),0.4,0,0,290,0,,,,,45.4,,,23,0.15,Display - IAS (1),0,45,,N52 18.48,
66.25,52.309841,4.774371,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.5,52.309841,4.77436,-1.2,-4.0,36.9,,,D 0.9,,,,,,0,,,,,,,35.9,,,,,,,,,,,,,,,,,
66.75,52.309841,4.774352,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,52.309841,4.774345,-1.2,-4.0,36.9,,,D 0.9,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,290,0,,,,,45.5,,,24,0.15,Display - IAS (1),0,45,E004 46.26,,
67.25,52.309841,4.774341,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
67.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,20.6,20.63,0,,0,False (0),False (0),False (0),False (0),0.4,0,,290,0,,,,,45.6,,,24.5,0.15,Display - IAS (1),0,45,,,
68.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,52.309841,4.774339,-1.2,-4.0,36.9,,0,D 0.9,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,305,0,,,,,45.7,,,25.75,0.15,Display - IAS (1),0,45,,,
69.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.5,52.309841,4.774339,-1.2,-4.0,36.9,,100,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,60.38,,20.63,0,,,False (0),False (0),False (0),False (0),0.4,0,0,305,0,,,,,45.7,,,26,0.15,Display - IAS (1),0,45,,N52 18.48,
70.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,0,,,,,,,35.9,,,,,,,,,,,,,,,,,
70.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,305,0,,,,,45.7,,,25.75,0.15,Display - IAS (1),0,45,E004 46.26,,
71.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
71.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,20.6,20.63,0,,0,False (0),False (0),False (0),False (0),0.4,0,,305,0,,,,,45.7,,,26,0.15,Display - IAS (1),0,45,,,
72.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,52.309841,4.774339,-1.2,-4.0,36.9,,0,D 0.9,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,305,0,,,,,45.7,,,26,0.15,Display - IAS (1),0,45,,,
73.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.5,52.309841,4.774339,-1.2,-4.0,36.9,,100,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,60.38,,20.5,0,,,False (0),False (0),False (0),False (0),0.4,0,0,305,0,,,,,45.7,,,26.25,0.15,Display - IAS (1),0,45,,N52 18.48,
74.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,0,,,,,,,35.9,,,,,,,,,,,,,,,,,
74.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,False (0),False (0),False (0),False (0),0.4,0,,305,0,,,,,45.7,143,,26.25,0.15,Display - IAS (1),0,45,E004 46.26,,
75.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
75.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,20.6,20.63,1.63,,0,False (0),False (0),False (0),False (0),0.4,0,,305,0,,,,,45.7,,,26,0.15,Display - IAS (1),0,45,,,
76.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,52.309841,4.774339,-1.2,-4.0,36.9,,0,D 0.9,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,305,0,,,,,45.7,,,26,0.15,Display - IAS (1),0,45,,,
77.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.5,52.309841,4.774339,-1.2,-4.0,36.9,,100,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,60.25,,20.63,2.25,,,False (0),False (0),False (0),False (0),0.4,0,0,305,0,,,,,45.7,,,25.75,0.15,Display - IAS (1),0,45,,N52 18.48,
78.25,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.5,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,0,,,,,,,35.9,,,,,,,,,,,,,,,,,
78.75,52.309841,4.774339,-1.2,-4.0,36.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
